ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_publicado,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_localizacao,ocorrencia_DT,ocorrencia_mes,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
2543,ACIDENTE,BALSAS - MA,MA,,06/04/2016,10:05:00,SIM,FINALIZADA,SIM,0,1,NÃO,-8.4094444444 / -46.7188888889,2016-06-04 10:05:00,6.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTVYL,,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2012.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
2544,ACIDENTE,UIRAMUTÃ - RR,RR,SJLO,09/04/2016,19:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,5.0841666667 / -60.3455555556,2016-09-04 19:30:00,9.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PRGPI,,AVIÃO,CESSNA AIRCRAFT,U206F,C206,PISTÃO,MONOMOTOR,1633,1633,6.0,1976.0,AVIÃO,TÁXI AÉREO,POUSO DA ÁGUIA,MANALAI,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,SUBSTANCIAL,0
2545,ACIDENTE,TATUÍ - SP,SP,SDTF,09/04/2016,15:14:00,SIM,,NÃO,0,1,NÃO,-23.3319444444 / -47.88,2016-09-04 15:14:00,9.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PUBSR,EXPERIMENTAL,ULTRALEVE,SPS TRADING IMP. E EXPORTADORA LTDA,XT912 TUNDRA,ULAC,PISTÃO,MONOMOTOR,450,450,2.0,2009.0,ULTRALEVE,EXPERIMENTAL,TATUÍ,TATUÍ,POUSO,PRIVADA,SUBSTANCIAL,2
2546,INCIDENTE,BELO HORIZONTE - MG,MG,SBPR,09/04/2016,19:00:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-19.9091666667 / -43.9891666667,2016-09-04 19:00:00,9.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PUKSK,EXPERIMENTAL,ULTRALEVE,CARLOS EDUARDO NASCIMENTO SEVERO,AA-2120,ULAC,PISTÃO,MONOMOTOR,580,580,2.0,2011.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,CARLOS PRATES,POUSO,PRIVADA,NENHUM,0
2547,INCIDENTE,JOÃO PINHEIRO - MG,MG,SNYS,11/04/2016,18:00:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-18.2205555556 / -45.9911111111,2016-11-04 18:00:00,11.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTVZI,PARTICULAR,AVIÃO,EMBRAER,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2013.0,AVIÃO,PARTICULAR,DESTILARIA WD,DESTILARIA WD,CORRIDA APÓS POUSO,AGRÍCOLA,LEVE,0
2548,INCIDENTE,GUARULHOS - SP,SP,SBGR,12/04/2016,11:30:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-23.4319444444 / -46.4694444444,2016-12-04 11:30:00,12.0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,PRGXI,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,199.0,2013.0,AVIÃO,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,SALGADO FILHO,DECOLAGEM,REGULAR,SUBSTANCIAL,0
2549,INCIDENTE,SÃO PAULO - SP,SP,SBMT,13/04/2016,19:40:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-23.5088888889 / -46.6344444444,2016-04-13 19:40:00,4.0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,PTIZO,INSTRUÇÃO,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,884,884,2.0,1973.0,AVIÃO,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,DECOLAGEM,INSTRUÇÃO,LEVE,0
2550,ACIDENTE,SANTA TEREZINHA DE ITAIPU - PR,PR,SWIT,13/04/2016,16:15:00,SIM,FINALIZADA,SIM,0,1,SIM,\t-25.48888889\t / \t-54.44111111\t,2016-04-13 16:15:00,4.0,POUSO LONGO,EXCURSÃO DE PISTA | POUSO LONGO,RE,PTRJF,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,1315,1315,4.0,1981.0,AVIÃO,PARTICULAR,Francisco Beltrão,CLUBE DE VOO ITAIPU,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
2551,ACIDENTE,PEDRA PRETA - MT,MT,,13/04/2016,21:00:00,SIM,FINALIZADA,SIM,0,1,SIM,-16.7283333333 / -53.9288888889,2016-04-13 21:00:00,4.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTEAE,,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1975.0,AVIÃO,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,ARAGARÇAS,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
2552,INCIDENTE,SÃO PAULO - SP,SP,SBSP,14/04/2016,10:06:00,SIM,FINALIZADA,NÃO,0,2,NÃO,,2016-04-14 10:06:00,4.0,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,PRGGM,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,197.0,2009.0,AVIÃO,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,CONGONHAS,POUSO,REGULAR,NENHUM,0
2553,INCIDENTE,SÃO PAULO - SP,SP,SBSP,14/04/2016,10:06:00,SIM,FINALIZADA,NÃO,0,2,NÃO,,2016-04-14 10:06:00,4.0,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,PTOSN,PARTICULAR,AVIÃO,BEECH AIRCRAFT,C90A,BE9L,TURBOÉLICE,BIMOTOR,4581,4581,8.0,1990.0,AVIÃO,PARTICULAR,CONGONHAS,SÓCRATES MARIANI BITTENCOURT,TÁXI,PRIVADA,NENHUM,0
2554,INCIDENTE,SÃO PAULO - SP,SP,SBSP,14/04/2016,19:42:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-23.6261111111 / -46.6563888889,2016-04-14 19:42:00,4.0,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,PRAVJ,,AVIÃO,AIRBUS INDUSTRIE,A318-122,A318,TURBOEIXO,BIMOTOR,68000,68000,129.0,2007.0,AVIÃO,REGULAR,SANTOS DUMONT,CONGONHAS,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
2555,INCIDENTE,BELO HORIZONTE - MG,MG,SBBH,14/04/2016,13:50:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-19.8519444444 / -43.9505555556,2016-04-14 13:50:00,4.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PTNNJ,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,1202,1202,4.0,1977.0,AVIÃO,PARTICULAR,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,BARTOLOMEU LISANDRO,TÁXI,PRIVADA,LEVE,0
2556,INCIDENTE,JUNDIAÍ - SP,SP,SBJD,14/04/2016,19:35:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-23.1816666667 / -46.9436111111,2016-04-14 19:35:00,4.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PREJN,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,759,759,2.0,1984.0,AVIÃO,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0
2557,INCIDENTE,FORTALEZA - CE,CE,SBFZ,16/04/2016,20:35:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-3.7758333333 / -38.5322222222,2016-04-16 20:35:00,4.0,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,SCF-NP,ECMIL,,AVIÃO,AIRBUS INDUSTRIE,A330,A332,JATO,QUADRIMOTOR,222222,222222,258.0,2015.0,AVIÃO,,AEROPORTO INTERNACIONAL DE CARRASCO - GENERAL CESARIO L BERISSO,ADOLFO SUÁREZ MADRID–BARAJAS AIRPORT,CRUZEIRO,REGULAR,NENHUM,0
2558,INCIDENTE,CAMPOS DOS GOYTACAZES - RJ,RJ,SBFS,18/04/2016,19:30:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-22.0288888889 / -41.0697222222,2016-04-18 19:30:00,4.0,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,PRCHD,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2006.0,HELICÓPTERO,TÁXI AÉREO,SÃO TOMÉ,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
2559,ACIDENTE,PORTO MURTINHO - MS,MS,,18/04/2016,14:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,-21.2172222222 / -57.5277777778,2016-04-18 14:30:00,4.0,OUTROS,OUTROS,OTHR,CP2615,,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,,,AVIÃO,,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
2560,ACIDENTE,BOA VISTA - RR,RR,,19/04/2016,10:08:00,SIM,FINALIZADA,SIM,1,1,NÃO,2.6955555556 / -60.8141666667,2016-04-19 10:08:00,4.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PRGKG,,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,1134,4.0,2007.0,HELICÓPTERO,PARTICULAR,BARRA DO VENTO,BARRA DO VENTO,VOO A BAIXA ALTURA,PRIVADA,SUBSTANCIAL,0
2561,INCIDENTE GRAVE,PONTA GROSSA - PR,PR,,19/04/2016,15:10:00,SIM,FINALIZADA,SIM,2,1,NÃO,\t-25.22666667\t / \t-50.11277778\t,2016-04-19 15:10:00,4.0,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SCF-NP,PRADD,,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1978.0,AVIÃO,INSTRUÇÃO,COMANDANTE ANTONIO AMILTON BERALDO,COMANDANTE ANTONIO AMILTON BERALDO,MANOBRA,INSTRUÇÃO,NENHUM,0
2562,ACIDENTE,MANAUS - AM,AM,SWFN,21/04/2016,20:00:00,SIM,FINALIZADA,SIM,0,1,SIM,-3.0727777778 / -60.0211111111,2016-04-21 20:00:00,4.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTNYU,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,1981.0,AVIÃO,INSTRUÇÃO,FLORES,FLORES,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0
2563,ACIDENTE,PORTO SEGURO - BA,BA,SBTV,21/04/2016,14:40:00,SIM,FINALIZADA,SIM,1,1,SIM,-16.5413888889 / -39.1080555556,2016-04-21 14:40:00,4.0,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA,USOS,PTMCM,,AVIÃO,BEECH AIRCRAFT,300,BE30,TURBOÉLICE,BIMOTOR,5700,5700,11.0,1985.0,AVIÃO,PARTICULAR,SANTOS DUMONT,TERRAVISTA,POUSO,PRIVADA,SUBSTANCIAL,0
2564,INCIDENTE GRAVE,ANGRA DOS REIS - RJ,RJ,SDAG,21/04/2016,16:45:00,SIM,ATIVA,NÃO,0,1,NÃO,-22.9752777778 / -44.3072222222,2016-04-21 16:45:00,4.0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,PRAEX,,AVIÃO,HAWKER BEECHCRAFT,400A,BE40,JATO,BIMOTOR,7245,7245,10.0,1993.0,AVIÃO,PARTICULAR,CAMPO DE MARTE,ANGRA DOS REIS,POUSO,PRIVADA,LEVE,0
2565,INCIDENTE,ANGRA DOS REIS - RJ,RJ,SDAG,21/04/2016,19:50:00,SIM,FINALIZADA,NÃO,0,1,NÃO,22.9752777778 / -44.3072222222,2016-04-21 19:50:00,4.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PTGMM,PARTICULAR,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,1542,4.0,2003.0,AVIÃO,PARTICULAR,SOROCABA,ANGRA DOS REIS,TÁXI,PRIVADA,LEVE,0
2566,INCIDENTE,MANAUS - AM,AM,SBEG,22/04/2016,15:57:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-3.0388888889 / -60.0461111111,2016-04-22 15:57:00,4.0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,PPOGT,PARTICULAR,ANFÍBIO,CESSNA AIRCRAFT,208 ANFIBIO,C208,TURBOÉLICE,MONOMOTOR,3968,3968,10.0,2013.0,ANFÍBIO,PARTICULAR,MAESTRO WILSON FONSECA,EDUARDO GOMES,POUSO,PRIVADA,LEVE,0
2567,ACIDENTE,RIO DE JANEIRO - RJ,RJ,,22/04/2016,14:50:00,SIM,FINALIZADA,SIM,0,1,NÃO,-22.9463888889 / -43.4113888889,2016-04-22 14:50:00,4.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PTYOY,,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B3,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1999.0,HELICÓPTERO,MÚLTIPLA,JACAREPAGUÁ,FORA DE AERODROMO,POUSO,ESPECIALIZADA,DESTRUÍDA,0
2568,INCIDENTE GRAVE,REDENÇÃO - PA,PA,SNDC,22/04/2016,18:30:00,SIM,FINALIZADA,SIM,2,1,SIM,-8.0305555556 / -49.9805555556,2016-04-22 18:30:00,4.0,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,PRZPE,,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2002.0,AVIÃO,PARTICULAR,AEROPORTO MUNICIPAL BOM FUTURO,REDENÇÃO,APROXIMAÇÃO FINAL,PRIVADA,LEVE,0
2569,ACIDENTE,PIRAQUARA - PR,PR,SISY,25/04/2016,13:58:00,SIM,FINALIZADA,SIM,0,1,NÃO,\t-25.46138889\t / \t-49.10277778\t,2016-04-25 13:58:00,4.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PRYCB,,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,7.0,2010.0,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,PIRAQUARA,BACACHERI,DECOLAGEM VERTICAL,POLICIAL,SUBSTANCIAL,0
2570,INCIDENTE,CURITIBA - PR,PR,SBBI,25/04/2016,18:00:00,SIM,FINALIZADA,NÃO,0,1,NÃO,\t-25.40333333\t / \t-49.23361111\t,2016-04-25 18:00:00,4.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PRBOP,ADMINISTRAÇÃO DIRETA,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,EC30,TURBOEIXO,MONOMOTOR,2427,2427,7.0,2010.0,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,BACACHERI,BACACHERI,PARTIDA DO MOTOR,POLICIAL,LEVE,0
2571,INCIDENTE,RECIFE - PE,PE,SBRF,26/04/2016,23:30:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-8.6263888889 / -34.9227777778,2016-04-26 23:30:00,4.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PRGGL,,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,197.0,2009.0,AVIÃO,REGULAR,GUARARAPES - GILBERTO FREYRE,PINTO MARTINS,DECOLAGEM,REGULAR,NENHUM,0
2572,ACIDENTE,ARENÁPOLIS - MT,MT,,26/04/2016,19:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,-14.3975 / -56.9158333333,2016-04-26 19:30:00,4.0,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL,PTVLI,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,7.0,1989.0,AVIÃO,PARTICULAR,IPIRANGA,MARECHAL RONDON,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
2573,INCIDENTE,BREVES - PA,PA,SNVS,27/04/2016,15:12:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-1.6386111111 / -50.4413888889,2016-04-27 15:12:00,4.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PRWOT,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,3969,11.0,2010.0,AVIÃO,TÁXI AÉREO,ALTAMIRA,BREVES,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
2574,INCIDENTE,PORTO ALEGRE - RS,RS,SBPA,27/04/2016,19:15:00,SIM,FINALIZADA,NÃO,0,1,NÃO,\t-29.99388889\t / \t-51.17111111\t,2016-04-27 19:15:00,4.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PRRIA,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,T206H,C206,PISTÃO,MONOMOTOR,1633,1633,6.0,2009.0,AVIÃO,PARTICULAR,SALGADO FILHO,SALGADO FILHO,TÁXI,PRIVADA,LEVE,0
2575,INCIDENTE,SÃO PAULO - SP,SP,SBSP,28/04/2016,23:13:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-23.6261111111 / 46.6563888889,2016-04-28 23:13:00,4.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PRDCJ,PARTICULAR,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,4750,6.0,2009.0,AVIÃO,PARTICULAR,MÁRIO DE ALMEIDA FRANCO,CONGONHAS,POUSO,PRIVADA,LEVE,0
2576,ACIDENTE,CAMPOS DOS GOYTACAZES - RJ,RJ,,28/04/2016,13:30:00,SIM,ATIVA,NÃO,0,1,NÃO,-21.7908333333 / -41.3061111111,2016-04-28 13:30:00,4.0,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,SCF-NP,PREMR,,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,S76,TURBOEIXO,BIMOTOR,4763,4763,14.0,1978.0,HELICÓPTERO,TÁXI AÉREO,MACAÉ,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,0
2577,INCIDENTE,BRASÍLIA - DF,DF,SBBR,28/04/2016,18:48:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-15.8711111111 / -47.9186111111,2016-04-28 18:48:00,4.0,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,PRPDB,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2012.0,AVIÃO,REGULAR,PRESIDENTE JOÃO BATISTA FIGUEIREDO,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,REGULAR,NENHUM,0
2578,ACIDENTE,GUAPÉ - MG,MG,,30/04/2016,18:00:00,SIM,,NÃO,0,1,NÃO,-20.7408333333 / -45.9763888889,2016-04-30 18:00:00,4.0,INDETERMINADO,INDETERMINADO,UNK,PUHLA,EXPERIMENTAL,ULTRALEVE,PARTICULAR,CURUMIM II,ULAC,PISTÃO,MONOMOTOR,600,600,2.0,2014.0,ULTRALEVE,EXPERIMENTAL,PARÁ DE MINAS,PARÁ DE MINAS,VOO A BAIXA ALTURA,PRIVADA,DESTRUÍDA,2
2579,ACIDENTE,VIAMÃO - RS,RS,,01/05/2016,16:15:00,SIM,FINALIZADA,SIM,0,1,NÃO,\t-30.00805556\t / \t-51.01611111\t,2016-01-05 16:15:00,1.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PRYMO,,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,621,2.0,1989.0,HELICÓPTERO,INSTRUÇÃO,EL DORADO,EL DORADO,PAIRADO,PRIVADA,SUBSTANCIAL,0
2580,ACIDENTE,PONTA GROSSA - PR,PR,SBPG,01/05/2016,19:15:00,SIM,FINALIZADA,SIM,0,1,NÃO,\t-25.18555556\t / \t-50.14638889\t,2016-01-05 19:15:00,1.0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,PTEET,,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1976.0,AVIÃO,PARTICULAR,COMANDANTE ANTONIO AMILTON BERALDO,COMANDANTE ANTONIO AMILTON BERALDO,POUSO,PRIVADA,SUBSTANCIAL,0
2581,ACIDENTE,SANTOS - SP,SP,,02/05/2016,15:12:00,SIM,FINALIZADA,SIM,0,1,NÃO,-23.855 / -46.3616666667,2016-02-05 15:12:00,2.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PRRCA,,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,621,2.0,2001.0,HELICÓPTERO,INSTRUÇÃO,CAMPO DE MARTE,CAMPO DE MARTE,INDETERMINADA,INSTRUÇÃO,SUBSTANCIAL,2
2582,INCIDENTE,PORTO ALEGRE - RS,RS,SBPA,04/05/2016,02:40:00,,FINALIZADA,NÃO,0,1,NÃO,\t-29.99388889\t / \t-51.17111111\t,2016-04-05 02:40:00,4.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PRTTW,REGULAR,AVIÃO,BOEING COMPANY,727-225,B722,JATO,TRIMOTOR,88360,88360,5.0,1980.0,AVIÃO,REGULAR,SALGADO FILHO,GOVERNADOR ANDRÉ FRANCO MONTORO,SUBIDA,REGULAR,NENHUM,0
2583,INCIDENTE,CAJAMAR - SP,SP,,05/05/2016,19:00:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-23.3875 / -46.8280555556,2016-05-05 19:00:00,5.0,AERONAVE ATINGIDA POR OBJETO,OUTROS | AERONAVE ATINGIDA POR OBJETO,OTHR,PPEOE,,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,2100,2100,6.0,1992.0,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,CAMPO DE MARTE,CAMPO DE MARTE,OUTRA FASE,POLICIAL,LEVE,0
2584,INCIDENTE,FLORIANÓPOLIS - SC,SC,SBFL,06/05/2016,20:24:00,SIM,FINALIZADA,NÃO,0,1,NÃO,\t-27.67027778\t / \t-48.5525\t,2016-06-05 20:24:00,6.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PREPH,ADMINISTRAÇÃO DIRETA,AVIÃO,CESSNA AIRCRAFT,210N,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1981.0,AVIÃO,ADMINISTRAÇÃO DIRETA,SERAFIN ENOSS BERTASO,HERCÍLIO LUZ,OUTRA FASE,POLICIAL,NENHUM,0
2585,INCIDENTE,RECIFE - PE,PE,SBRF,10/05/2016,11:24:00,SIM,FINALIZADA,NÃO,0,1,NÃO,-8.6263888889 / -34.9227777778,2016-10-05 11:24:00,10.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PRXCA,REGULAR,AVIÃO,BOEING COMPANY,757-28A,B752,JATO,BIMOTOR,113398,113398,4.0,,AVIÃO,REGULAR,GUARARAPES - GILBERTO FREYRE,DEPUTADO LUÍS EDUARDO MAGALHÃES,POUSO,REGULAR,LEVE,0
2586,INCIDENTE GRAVE,CACOAL - RO,RO,SSKW,13/05/2016,19:19:00,SIM,FINALIZADA,SIM,7,1,NÃO,-11.2644444444 / -61.2588888889,2016-05-13 19:19:00,5.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PTYEL,,HELICÓPTERO,BELL HELICOPTER,206L-4,B06,TURBOEIXO,MONOMOTOR,2018,2018,7.0,1997.0,HELICÓPTERO,ADMINISTRAÇÃO INDIRETA,CACOAL,CACOAL,APROXIMAÇÃO FINAL,ESPECIALIZADA,LEVE,0
