ocorrencia_classificacao,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
2005,ACIDENTE,17.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,1542,4.0,2003.0,PARTICULAR,COSTA ESMERALDA,LAURO KURTZ,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
2006,ACIDENTE,17.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,AVIÃO,CESSNA AIRCRAFT,U206F,C206,PISTÃO,MONOMOTOR,1633,1633,6.0,1973.0,TÁXI AÉREO,CAJÚ,ATLAS BRASIL CANTANHEDE,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
2007,INCIDENTE,15.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,22500,73.0,2009.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,ADALBERTO MENDES DA SILVA,DECOLAGEM,REGULAR,NENHUM,0
2008,INCIDENTE GRAVE,17.0,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP,HELICÓPTERO,AGUSTA,AB139,A139,TURBOEIXO,BIMOTOR,6800,6800,17.0,2006.0,TÁXI AÉREO,GOVERNADOR ANDRÉ FRANCO MONTORO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,LEVE,0
2009,INCIDENTE,19.0,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,AVIÃO,AIRBUS INDUSTRIE,A319-132,A319,JATO,BIMOTOR,64000,64000,154.0,2002.0,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,ADALBERTO MENDES DA SILVA,CRUZEIRO,REGULAR,SUBSTANCIAL,0
2010,INCIDENTE GRAVE,14.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,975,975,2.0,1973.0,INSTRUÇÃO,AEROCLUBE DE ELDORADO DO SUL,AEROCLUBE DE ELDORADO DO SUL,MANOBRA,INSTRUÇÃO,NENHUM,0
2011,ACIDENTE,18.0,1,NÃO,INDETERMINADO,INDETERMINADO,UNK,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1946.0,INSTRUÇÃO,GERALDO GUIAS DE AQUINO,GERALDO GUIAS DE AQUINO,INDETERMINADA,INSTRUÇÃO,DESTRUÍDA,2
2012,ACIDENTE,12.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,HELICÓPTERO,ROBINSON HELICOPTER,R22,R22,PISTÃO,MONOMOTOR,621,621,2.0,1997.0,INSTRUÇÃO,GOVERNADOR ANDRÉ FRANCO MONTORO,ADALBERTO MENDES DA SILVA,DECOLAGEM VERTICAL,PRIVADA,SUBSTANCIAL,0
2013,INCIDENTE,22.0,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2010.0,REGULAR,EURICO DE AGUIAR SALLES,EURICO DE AGUIAR SALLES,CRUZEIRO,REGULAR,NENHUM,0
2014,INCIDENTE,8.0,1,NÃO,FUMAÇA NA CABINE,FOGO/FUMAÇA (SEM IMPACTO) | FUMAÇA NA CABINE,F-NI,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2011.0,REGULAR,CONGONHAS,GOVERNADOR JOSÉ RICHA,SUBIDA,REGULAR,NENHUM,0
2015,INCIDENTE,14.0,1,NÃO,FOGO NO SOLO,FOGO/FUMAÇA (SEM IMPACTO) | FOGO NO SOLO,F-NI,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,1985.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,PARTIDA DO MOTOR,INSTRUÇÃO,NENHUM,0
2016,INCIDENTE,21.0,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2012.0,REGULAR,GOVERNADOR JOSÉ RICHA,TEIXEIRA DE FREITAS,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
2017,ACIDENTE,23.0,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,AVIÃO,PIPER AIRCRAFT,PA-32R-301,PA32,TURBOÉLICE,MONOMOTOR,1633,1633,6.0,1983.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
2018,ACIDENTE,13.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1723,6.0,1973.0,TÁXI AÉREO,CHAVES,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
2019,ACIDENTE,13.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,BEECH AIRCRAFT,E55,BE55,PISTÃO,BIMOTOR,2404,2404,6.0,1980.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
2020,ACIDENTE,21.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2011.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,AGRÍCOLA,SUBSTANCIAL,1
2021,INCIDENTE GRAVE,11.0,1,NÃO,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,HELICÓPTERO,ROBINSON HELICOPTER,R22,R22,PISTÃO,MONOMOTOR,621,621,2.0,1995.0,INSTRUÇÃO,JACAREPAGUÁ,JACAREPAGUÁ,MANOBRA,INSTRUÇÃO,LEVE,0
2022,INCIDENTE,17.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,EMBRAER,EMB-120ER,E120,TURBOÉLICE,BIMOTOR,11990,11990,34.0,1995.0,REGULAR,ALTAMIRA,JOÃO CORREA DA ROCHA,ESTACIONAMENTO,REGULAR,NENHUM,0
2023,INCIDENTE,21.0,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP,AVIÃO,LEARJET,45 (LEARJET 40),LJ40,JATO,BIMOTOR,9231,9231,9.0,2008.0,TÁXI AÉREO,HERCÍLIO LUZ,AFONSO PENA,SUBIDA,TÁXI AÉREO,LEVE,0
2024,ACIDENTE,23.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1973.0,PARTICULAR,IPIRANGA,TABATINGA,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,0
2025,ACIDENTE,12.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PISTÃO,MONOMOTOR,660,660,2.0,1960.0,INSTRUÇÃO,SANTOS DUMONT,SANTOS DUMONT,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
2026,INCIDENTE,15.0,1,NÃO,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,3969,11.0,1993.0,TÁXI AÉREO,REGIONAL HUGO CANTERGIANI,SALGADO FILHO,PROCEDIMENTO DE APROXIMAÇÃO IFR,TÁXI AÉREO,LEVE,0
2027,INCIDENTE,14.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,4110,4110,11.0,1994.0,TÁXI AÉREO,ADALBERTO MENDES DA SILVA,SOROCABA,POUSO,TÁXI AÉREO,LEVE,0
2028,INCIDENTE,11.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1998.0,ADMINISTRAÇÃO DIRETA,CEL PM CÍCERO DANTAS DOS SANTOS,FORA DE AERODROMO,PAIRADO,POLICIAL,LEVE,0
2029,INCIDENTE,7.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,BOEING COMPANY,737-8EH,B738,TURBOEIXO,BIMOTOR,70533,70533,187.0,2007.0,REGULAR,TANCREDO NEVES,CONGONHAS,DECOLAGEM,REGULAR,NENHUM,0
2030,ACIDENTE,18.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,AVIÃO,CESSNA AIRCRAFT,,,PISTÃO,MONOMOTOR,0,0,0.0,2012.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,DESTRUÍDA,1
2031,ACIDENTE,18.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1338,4.0,1974.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
2032,INCIDENTE GRAVE,18.0,1,SIM,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,3969,11.0,1993.0,TÁXI AÉREO,EDUARDO GOMES,MAUÉS,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
2033,INCIDENTE,21.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,BEECH AIRCRAFT,V35B,BE35,PISTÃO,MONOMOTOR,1542,1542,6.0,1973.0,PARTICULAR,TRÊS MARIAS,MÁRIO RIBEIRO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
2034,INCIDENTE,3.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,22500,73.0,2010.0,REGULAR,ALTAMIRA,VAL DE CANS / JÚLIO CEZAR RIBEIRO,OPERAÇÃO DE SOLO,REGULAR,NENHUM,0
2035,INCIDENTE GRAVE,14.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2005.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0
2036,INCIDENTE,21.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,2449,6.0,1995.0,PARTICULAR,FAZENDA BOM JARDIM,JACAREPAGUÁ,POUSO,PRIVADA,LEVE,0
2037,ACIDENTE,13.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,ULTRALEVE,AEROBRAVO LTDA,BRAVO 700,ULAC,PISTÃO,MONOMOTOR,500,500,0.0,2007.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,PRIVADA,SUBSTANCIAL,0
2038,ACIDENTE,17.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2007.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,DESTRUÍDA,1
2039,ACIDENTE,20.0,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1984.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,1
2040,INCIDENTE GRAVE,14.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,3629,3629,1.0,2012.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0
2041,INCIDENTE,17.0,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,79000,79000,194.0,2006.0,REGULAR,PORTO SEGURO,TANCREDO NEVES,CRUZEIRO,REGULAR,NENHUM,0
2042,INCIDENTE,23.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,52290,125.0,2012.0,REGULAR,TANCREDO NEVES,AFONSO PENA,OPERAÇÃO DE SOLO,REGULAR,NENHUM,0
2043,INCIDENTE GRAVE,16.0,1,NÃO,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,HELICÓPTERO,AGUSTA,AW139,A139,TURBOEIXO,BIMOTOR,6800,6800,14.0,2009.0,TÁXI AÉREO,MACAÉ,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
2044,ACIDENTE,20.0,1,SIM,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2006.0,PARTICULAR,SENADOR NILO COELHO,WALFRIDO SAMITO DE ALMEIDA,DESCIDA,PRIVADA,SUBSTANCIAL,0
2045,INCIDENTE,14.0,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP,AVIÃO,AIRBUS INDUSTRIE,A318-122,A318,JATO,BIMOTOR,68000,68000,129.0,2007.0,REGULAR,CONGONHAS,PRESIDENTE JUSCELINO KUBITSCHEK,CRUZEIRO,REGULAR,LEVE,0
2046,ACIDENTE,10.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2012.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
2047,ACIDENTE,18.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,CESSNA AIRCRAFT,182P,C182,PISTÃO,MONOMOTOR,1338,1338,5.0,1974.0,PARTICULAR,ARAGUARI,ARAGUARI,SUBIDA,PRIVADA,SUBSTANCIAL,0
2048,INCIDENTE,16.0,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22800,22800,73.0,2012.0,REGULAR,GOVERNADOR JOSÉ RICHA,VIRACOPOS,CRUZEIRO,REGULAR,NENHUM,0
2049,INCIDENTE,17.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1984.0,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,TÁXI,INSTRUÇÃO,NENHUM,0
2050,INCIDENTE,15.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,758,758,2.0,1978.0,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,DECOLAGEM,INSTRUÇÃO,NENHUM,0
2051,ACIDENTE,20.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,ULTRALEVE,AEROBRAVO LTDA,FOX V5,ULAC,PISTÃO,MONOMOTOR,417,417,2.0,1998.0,EXPERIMENTAL,COLIDER,COLIDER,MANOBRA,PRIVADA,SUBSTANCIAL,0
2052,INCIDENTE,18.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,4750,6.0,2011.0,PARTICULAR,LEITE LOPES,LAURO CARNEIRO DE LOYOLA,POUSO,PRIVADA,NENHUM,0
2053,INCIDENTE,19.0,1,NÃO,F.O.D.,OUTROS | F.O.D.,OTHR,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1993.0,ADMINISTRAÇÃO DIRETA,BAURU,BAURU,PARTIDA DO MOTOR,POLICIAL,LEVE,0
2054,ACIDENTE,20.0,1,NÃO,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SCF-NP,HELICÓPTERO,EUROCOPTER FRANCE,EC 155 B1,EC55,TURBOEIXO,BIMOTOR,4920,4920,10.0,2010.0,PARTICULAR,HELIPARK,HELIPARK,CRUZEIRO,PRIVADA,DESTRUÍDA,5
2055,ACIDENTE,17.0,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711T,P28T,PISTÃO,MONOMOTOR,1247,1247,4.0,1980.0,PARTICULAR,VERA CRUZ,CONDOMÍNIO CONDE MATARAZZO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
2056,INCIDENTE,1.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,1905,6.0,1972.0,INSTRUÇÃO,HERCÍLIO LUZ,HERCÍLIO LUZ,TÁXI,INSTRUÇÃO,NENHUM,0
2057,ACIDENTE,14.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,ULTRALEVE,MAULE AIRCRAFT,ULTRALEVE,ULAC,PISTÃO,MONOMOTOR,0,0,0.0,2007.0,EXPERIMENTAL,AEROCLUBE DE NOVA IGUAÇU,AEROCLUBE DE ARACAJU,INDETERMINADA,PRIVADA,DESTRUÍDA,1
2058,ACIDENTE,20.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,ULTRALEVE,AEROBRAVO LTDA,ADVENTURE,ULAC,PISTÃO,SEM TRAÇÃO,0,0,0.0,2007.0,EXPERIMENTAL,CEARÁ-MIRIM,CEARÁ-MIRIM,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,2
2059,ACIDENTE,20.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,ULTRALEVE,MARCO AUGUSTO SCOBOZA GULIN,ASTRO AC-101,ULAC,PISTÃO,MONOMOTOR,420,420,2.0,2010.0,EXPERIMENTAL,ESTÂNCIA MACHADO,ESTÂNCIA MACHADO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
2060,ACIDENTE,13.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,1905,6.0,1972.0,INSTRUÇÃO,HERCÍLIO LUZ,HERCÍLIO LUZ,ARREMETIDA NO SOLO,INSTRUÇÃO,SUBSTANCIAL,0
2061,INCIDENTE,16.0,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,TÁXI AÉREO,EURICO DE AGUIAR SALLES,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
2062,INCIDENTE,12.0,1,NÃO,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2494,2494,6.0,1991.0,PARTICULAR,PARÁ DE MINAS,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,DESCIDA,PRIVADA,NENHUM,0
2063,ACIDENTE,11.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1978.0,INSTRUÇÃO,ESTADUAL ARTHUR SIQUEIRA,ARARAS,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
2064,INCIDENTE GRAVE,11.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PAUL,PISTÃO,MONOMOTOR,587,587,2.0,1946.0,INSTRUÇÃO,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,TÁXI,INSTRUÇÃO,SUBSTANCIAL,0
2065,INCIDENTE GRAVE,21.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,BEECH AIRCRAFT,36,BE36,PISTÃO,MONOMOTOR,1633,1633,6.0,1969.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
2066,ACIDENTE,11.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,3.0,1990.0,INSTRUÇÃO,BACACHERI,BACACHERI,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
2067,ACIDENTE,21.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,INSTRUÇÃO,SÍLVIO NAME JÚNIOR,SÍLVIO NAME JÚNIOR,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
2068,INCIDENTE,20.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,2449,6.0,1979.0,PARTICULAR,HERCÍLIO LUZ,HERCÍLIO LUZ,TÁXI,PRIVADA,LEVE,0
2069,INCIDENTE,20.0,1,NÃO,VAZAMENTO DE COMBUSTÍVEL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | VAZAMENTO DE COMBUSTÍVEL,SCF-NP,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-320,AT43,TURBOÉLICE,BIMOTOR,16900,16900,52.0,1986.0,REGULAR,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,EDUARDO GOMES,CRUZEIRO,REGULAR,NENHUM,0
2070,INCIDENTE,21.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2011.0,REGULAR,MARECHAL RONDON,VIRACOPOS,DECOLAGEM,REGULAR,SUBSTANCIAL,0
